time;Portata [Nm3/h];%CH4;LHV [kWh/Nm3];Pin [kW];;;
1;369;60;5,964;298,2;;;
2;369;60;5,964;298,2;;;
3;369;60;5,964;298,2;;;
4;369;60;5,964;298,2;;;
5;369;60;5,964;298,2;;;
6;369;60;5,964;298,2;;;
7;369;60;5,964;298,2;;;
8;369;60;5,964;298,2;;;
9;369;60;5,964;298,2;;;
10;369;60;5,964;298,2;;;
11;369;60;5,964;298,2;;;
12;369;60;5,964;298,2;;;
13;369;60;5,964;298,2;;;
14;369;60;5,964;298,2;;;
15;369;60;5,964;298,2;;;
16;369;60;5,964;298,2;;;
17;369;60;5,964;298,2;;;
18;369;60;5,964;298,2;;;
19;369;60;5,964;298,2;;;
20;369;60;5,964;298,2;;;
21;369;60;5,964;298,2;;;
22;369;60;5,964;298,2;;;
23;369;60;5,964;298,2;;;
24;369;60;5,964;298,2;;;
25;369;60;5,964;298,2;;;
26;369;60;5,964;298,2;;;
27;369;60;5,964;298,2;;;
28;369;60;5,964;298,2;;;
29;369;60;5,964;298,2;;;
30;369;60;5,964;298,2;;;
31;369;60;5,964;298,2;;;
32;369;60;5,964;298,2;;;
33;369;60;5,964;298,2;;;
34;369;60;5,964;298,2;;;
35;369;60;5,964;298,2;;;
36;369;60;5,964;298,2;;;
37;369;60;5,964;298,2;;;
38;369;60;5,964;298,2;;;
39;369;60;5,964;298,2;;;
40;369;60;5,964;298,2;;;
41;369;60;5,964;298,2;;;
42;369;60;5,964;298,2;;;
43;369;60;5,964;298,2;;;
44;369;60;5,964;298,2;;;
45;369;60;5,964;298,2;;;
46;369;60;5,964;298,2;;;
47;369;60;5,964;298,2;;;
48;369;60;5,964;298,2;;;
49;369;60;5,964;298,2;;;
50;369;60;5,964;298,2;;;
51;369;60;5,964;298,2;;;
52;369;60;5,964;298,2;;;
53;369;60;5,964;298,2;;;
54;369;60;5,964;298,2;;;
55;369;60;5,964;298,2;;;
56;369;60;5,964;298,2;;;
57;369;60;5,964;298,2;;;
58;369;60;5,964;298,2;;;
59;369;60;5,964;298,2;;;
60;369;60;5,964;298,2;;;
61;369;60;5,964;298,2;;;
62;369;60;5,964;298,2;;;
63;369;60;5,964;298,2;;;
64;369;60;5,964;298,2;;;
65;369;60;5,964;298,2;;;
66;369;60;5,964;298,2;;;
67;369;60;5,964;298,2;;;
68;369;60;5,964;298,2;;;
69;369;60;5,964;298,2;;;
70;369;60;5,964;298,2;;;
71;369;60;5,964;298,2;;;
72;369;60;5,964;298,2;;;
73;369;60;5,964;298,2;;;
74;369;60;5,964;298,2;;;
75;369;60;5,964;298,2;;;
76;369;60;5,964;298,2;;;
77;369;60;5,964;298,2;;;
78;369;60;5,964;298,2;;;
79;369;60;5,964;298,2;;;
80;369;60;5,964;298,2;;;
81;369;60;5,964;298,2;;;
82;369;60;5,964;298,2;;;
83;369;60;5,964;298,2;;;
