time;Potenza [kW]
1;1218.5
2;1179.95005
3;1125.05
4;1051.9
5;993.54995
6;989.54995
7;1017.4
8;1067.84995
9;1051.35005
10;1127.35
11;1204.6
12;1252.5
13;1326.79995
14;1285.44995
15;1209.5001
16;1213.20005
17;1246.9
18;1434.8
19;1528.25
20;1571.30005
21;1566.95
22;1491.49995
23;1410.24995
24;1283.74995
25;1136.19995
26;1033.90005
27;973.65005
28;954.5
29;958.70005
30;1012.45
31;1180.4
32;1418.50005
33;1667.25
34;1864.54995
35;1910.59995
36;1910.15
37;1922.40005
38;1896.45
39;1837.65
40;1846.75
41;1885.99995
42;2070.39995
43;2108.45005
44;2093.7
45;1978.2
46;1825.85005
47;1658.00005
48;1478.05005
49;1306.2
50;1182.75
51;1139.05
52;1125.2
53;1121.50005
54;1170.79995
55;1337.1
56;1573.2
57;1808.34995
58;1991.35
59;2047.5
60;2037.60005
61;2015.8
62;1946.89995
63;1968.4
64;1969.84995
65;2002.65
66;2167.80005
67;2208.45
68;2196.85
69;2068.14995
70;1918.10005
71;1729.4
72;1546.49995
73;1366.95
74;1258.2
75;1188.8
76;1170.85005
77;1172.05005
78;1215.84995
79;1377.45
80;1628.6
81;1884.34995
82;2096.39995
83;2161.7
84;2213.9
85;2152.25005
86;2055.45
87;2035.75
88;2022.64995
89;2052.1
90;2231.70005
91;2277.05
92;2259.35005
93;2124.05
94;1963.85
95;1787.3
96;1625.64995
97;1446.90005
98;1315.5
99;1229.05
100;1201.05
101;1180.45
102;1209.85005
103;1299.05005
104;1472.25
105;1605.8
106;1766.2
107;1840.8501
108;1860.45
109;1796.94995
110;1734.35
111;1662.85005
112;1659.6
113;1683.60005
114;1875.35
115;1985.90005
116;2013.34995
117;1915.75
118;1788.5
119;1650.19995
120;1482.15
121;1340.29995
122;1183.94995
123;1121.1
124;1083.1
125;1087.65
126;1101.19995
127;1147.05
128;1238.05
129;1301.64995
130;1469.94995
131;1568.70005
132;1611.79995
133;1657.00005
134;1546.35
135;1436.75
136;1433.2
137;1483.35005
138;1656.35
139;1791.50005
140;1860.15
141;1815.45
142;1739
143;1604.39995
144;1444.9
145;1281.5001
146;1177.6
147;1129.35005
148;1132.7
149;1141.95
150;1222.04995
151;1509.7
152;1917.15
153;2241.55
154;2427.95005
155;2444.00005
156;2405.80005
157;2337.40005
158;2268.4
159;2311.89995
160;2374.9
161;2414.25005
162;2536.4
163;2520.8
164;2463.55
165;2340.75005
166;2183.95
167;1950.94995
168;1732.20005
169;1594.70005
170;1464.99995
171;1428.85
172;1411.99995
173;1406.05
174;1482.19995
175;1689.85
176;2104.75
177;2407.85
178;2560.6
179;2549.9
180;2553.09995
181;2455.95
182;2344.3
183;2417.4999
184;2449.95
185;2478.6
186;2615.54995
187;2551.29995
188;2496.59995
189;2368.7501
190;2187.3
191;1963.65005
192;1747.14995
193;1577.45
194;1433.4
195;1362.44995
196;1348.45
197;1356.8
198;1437.30005
199;1671.20005
200;2069.55
201;2389.35
202;2563.45
203;2560.95005
204;2511.1
205;2400.95
206;2332.69995
207;2396
208;2429.4
209;2453.5
210;2582
211;2561.79995
212;2489.05
213;2364.2
214;2178.25
215;1953.4
216;1743.1999
217;1545
218;1449.34995
219;1363.84995
220;1356.3
221;1364.94995
222;1419.65
223;1662.74995
224;2108.25
225;2411.24995
226;2554.05
227;2575.15005
228;2564.2
229;2434.4499
230;2379.75
231;2433.89995
232;2404.95
233;2466.5
234;2597.75005
235;2604.80005
236;2562.5
237;2411.34995
238;2248.40005
239;2010.6
240;1794.3
241;1633.00005
242;1489.65
243;1416.75
244;1391.6
245;1395.35
246;1468.1
247;1710.14995
248;2117.64995
249;2418.39995
250;2599.74995
251;2610
252;2579.65
253;2493.7
254;2351.79995
255;2416.35
256;2412.25005
257;2428.05
258;2562.95
259;2571.15005
260;2522.25
261;2389.59995
262;2218.65005
263;2011.85
264;1822.75
265;1648.54995
266;1485.29995
267;1398.65
268;1358.7
269;1350.95
270;1372.7
271;1468.99995
272;1706.5
273;1869.85
274;2024.6
275;2061.94995
276;1994.05005
277;1924.15
278;1850.6
279;1800.9
280;1755.10005
281;1797.25005
282;1946.9001
283;2113.75
284;2126.84995
285;2046.99995
286;1891.5
287;1732.2
288;1572.80005
289;1442.05
290;1316.6
291;1224.15
292;1175.35
293;1157.9
294;1186.04995
295;1254.79995
296;1351.64995
297;1413.5
298;1573.89995
299;1678.05005
300;1682.9
301;1702.40005
302;1625.85
303;1534.04995
304;1550.95
305;1606.2
306;1773.95005
307;1906.40005
308;1950.99995
309;1924.95
310;1823.15
311;1677
312;1506.05
313;1338.1
314;1207.75005
315;1168.29995
