time;P;G(i);H_sun;T2m;WS10m;Int
20200101:0010;0.0;0.0;0.0;2.48;1.45;0.0
20200101:0110;0.0;0.0;0.0;2.58;1.38;0.0
20200101:0210;0.0;0.0;0.0;1.87;1.38;0.0
20200101:0310;0.0;0.0;0.0;1.9;1.38;0.0
20200101:0410;0.0;0.0;0.0;1.75;1.38;0.0
20200101:0510;0.0;0.0;0.0;1.54;1.38;0.0
20200101:0610;0.0;0.0;0.0;1.47;1.38;0.0
20200101:0710;0.0;0.0;0.0;0.79;0.62;0.0
20200101:0810;302.94;360.13;8.62;2.44;0.48;0.0
20200101:0910;496.75;590.41;15.32;4.45;0.34;0.0
20200101:1010;621.82;766.33;20.0;7.67;0.21;0.0
20200101:1110;671.67;844.72;22.18;8.74;0.07;0.0
20200101:1210;662.67;836.69;21.64;9.81;0.07;0.0
20200101:1310;594.05;742.1;18.43;10.65;0.07;0.0
20200101:1410;467.5;571.38;12.9;10.02;0.0;0.0
20200101:1510;259.48;316.68;5.53;9.32;0.48;0.0
20200101:1610;0.0;0.0;0.0;7.43;0.76;0.0
20200101:1710;0.0;0.0;0.0;7.04;0.62;0.0
20200101:1810;0.0;0.0;0.0;6.1;0.69;0.0
20200101:1910;0.0;0.0;0.0;5.28;0.55;0.0
20200101:2010;0.0;0.0;0.0;5.08;0.55;0.0
20200101:2110;0.0;0.0;0.0;4.39;0.55;0.0
20200101:2210;0.0;0.0;0.0;3.47;0.76;0.0
20200101:2310;0.0;0.0;0.0;1.82;0.9;0.0
20200102:0010;0.0;0.0;0.0;-0.19;0.83;0.0
20200102:0110;0.0;0.0;0.0;-0.58;0.83;0.0
20200102:0210;0.0;0.0;0.0;-1.3;0.83;0.0
20200102:0310;0.0;0.0;0.0;-1.48;0.76;0.0
20200102:0410;0.0;0.0;0.0;-1.6;0.9;0.0
20200102:0510;0.0;0.0;0.0;-1.4;0.97;0.0
20200102:0610;0.0;0.0;0.0;-1.44;0.97;0.0
20200102:0710;0.0;0.0;0.0;-0.48;1.24;0.0
20200102:0810;195.06;233.49;8.63;0.62;1.17;0.0
20200102:0910;509.25;594.25;15.36;2.37;0.97;0.0
20200102:1010;641.19;765.76;20.05;4.67;1.1;0.0
20200102:1110;681.74;822.35;22.26;5.73;1.24;0.0
20200102:1210;684.81;830.98;21.74;6.78;1.24;0.0
20200102:1310;604.53;729.37;18.54;7.51;1.03;0.0
20200102:1410;455.09;540.51;13.02;7.07;0.83;0.0
20200102:1510;238.07;287.14;5.66;6.55;0.83;0.0
20200102:1610;0.0;0.0;0.0;5.32;0.62;0.0
20200102:1710;0.0;0.0;0.0;5.01;0.07;0.0
20200102:1810;0.0;0.0;0.0;4.5;0.34;0.0
20200102:1910;0.0;0.0;0.0;3.9;0.28;0.0
20200102:2010;0.0;0.0;0.0;3.93;0.14;0.0
20200102:2110;0.0;0.0;0.0;3.5;0.07;0.0
20200102:2210;0.0;0.0;0.0;3.18;0.14;0.0
20200102:2310;0.0;0.0;0.0;3.84;0.07;0.0
20200103:0010;0.0;0.0;0.0;3.71;0.07;0.0
20200103:0110;0.0;0.0;0.0;3.8;0.14;0.0
20200103:0210;0.0;0.0;0.0;3.35;0.34;0.0
20200103:0310;0.0;0.0;0.0;3.6;0.48;0.0
20200103:0410;0.0;0.0;0.0;3.64;0.76;0.0
20200103:0510;0.0;0.0;0.0;3.05;1.03;0.0
20200103:0610;0.0;0.0;0.0;2.88;1.24;0.0
20200103:0710;0.0;0.0;0.0;2.74;1.1;0.0
20200103:0810;27.64;45.95;8.65;3.92;1.17;0.0
20200103:0910;58.18;82.68;15.4;5.34;0.97;0.0
20200103:1010;298.28;354.74;20.12;7.72;1.17;0.0
20200103:1110;473.19;561.83;22.35;8.46;1.66;0.0
20200103:1210;337.19;400.75;21.85;8.96;1.66;0.0
20200103:1310;318.95;378.85;18.66;9.16;1.86;0.0
20200103:1410;117.14;150.14;13.15;8.47;1.79;0.0
20200103:1510;8.64;21.09;5.79;7.97;1.31;0.0
20200103:1610;0.0;0.0;0.0;6.92;1.17;0.0
20200103:1710;0.0;0.0;0.0;6.31;1.24;0.0
20200103:1810;0.0;0.0;0.0;5.94;1.45;0.0
20200103:1910;0.0;0.0;0.0;5.21;1.59;0.0
20200103:2010;0.0;0.0;0.0;5.27;1.38;0.0
20200103:2110;0.0;0.0;0.0;5.1;1.24;0.0
20200103:2210;0.0;0.0;0.0;4.86;1.24;0.0
20200103:2310;0.0;0.0;0.0;5.41;1.17;0.0
20200104:0010;0.0;0.0;0.0;5.11;1.1;0.0
20200104:0110;0.0;0.0;0.0;5.16;0.9;0.0
20200104:0210;0.0;0.0;0.0;5.27;0.62;0.0
20200104:0310;0.0;0.0;0.0;5.18;0.41;0.0
20200104:0410;0.0;0.0;0.0;4.71;0.41;0.0
20200104:0510;0.0;0.0;0.0;4.32;0.48;0.0
20200104:0610;0.0;0.0;0.0;3.53;0.55;0.0
20200104:0710;0.0;0.0;0.0;2.3;0.34;0.0
20200104:0810;292.03;350.13;8.68;3.38;0.14;0.0
20200104:0910;453.52;538.41;15.45;4.7;0.21;0.0
20200104:1010;579.57;706.42;20.19;7.55;0.34;0.0
20200104:1110;668.29;829.15;22.45;9.0;0.62;0.0
20200104:1210;678.28;845.11;21.96;10.32;0.83;0.0
20200104:1310;594.8;730.45;18.79;10.91;0.97;0.0
20200104:1410;471.86;568.88;13.29;10.16;0.97;0.0
20200104:1510;287.22;348.45;5.93;9.37;0.83;0.0
20200104:1610;0.0;0.0;0.0;7.34;0.9;0.0
20200104:1710;0.0;0.0;0.0;6.56;0.76;0.0
20200104:1810;0.0;0.0;0.0;5.89;0.48;0.0
20200104:1910;0.0;0.0;0.0;7.04;0.62;0.0
20200104:2010;0.0;0.0;0.0;7.22;0.62;0.0
20200104:2110;0.0;0.0;0.0;5.99;0.9;0.0
20200104:2210;0.0;0.0;0.0;5.36;0.83;0.0
20200104:2310;0.0;0.0;0.0;5.73;0.55;0.0
20200105:0010;0.0;0.0;0.0;5.52;0.69;0.0
20200105:0110;0.0;0.0;0.0;3.41;1.17;0.0
20200105:0210;0.0;0.0;0.0;1.23;1.38;0.0
20200105:0310;0.0;0.0;0.0;0.33;1.38;0.0
20200105:0410;0.0;0.0;0.0;0.1;1.31;0.0
20200105:0510;0.0;0.0;0.0;0.05;1.24;0.0
20200105:0610;0.0;0.0;0.0;0.1;1.1;0.0
20200105:0710;0.0;0.0;0.0;3.07;0.9;0.0
20200105:0810;297.91;353.48;8.72;2.6;0.97;0.0
20200105:0910;487.38;573.77;15.51;4.52;0.97;0.0
20200105:1010;617.27;743.43;20.27;7.95;1.45;0.0
20200105:1110;678.4;820.91;22.55;7.96;1.72;0.0
20200105:1210;684.95;830.98;22.08;8.5;1.79;0.0
20200105:1310;614.02;739.55;18.93;8.77;1.66;0.0
20200105:1410;481.32;570.87;13.43;8.04;1.52;0.0
20200105:1510;291.7;349.06;6.08;7.27;1.31;0.0
20200105:1610;0.0;0.0;0.0;5.71;1.17;0.0
20200105:1710;0.0;0.0;0.0;4.06;0.83;0.0
20200105:1810;0.0;0.0;0.0;3.98;0.69;0.0
20200105:1910;0.0;0.0;0.0;5.7;0.21;0.0
20200105:2010;0.0;0.0;0.0;5.44;0.34;0.0
20200105:2110;0.0;0.0;0.0;4.72;0.34;0.0
20200105:2210;0.0;0.0;0.0;4.22;0.34;0.0
20200105:2310;0.0;0.0;0.0;4.67;0.34;0.0
20200106:0010;0.0;0.0;0.0;4.48;0.41;0.0
20200106:0110;0.0;0.0;0.0;4.35;0.41;0.0
20200106:0210;0.0;0.0;0.0;3.53;0.48;0.0
20200106:0310;0.0;0.0;0.0;3.25;0.48;0.0
20200106:0410;0.0;0.0;0.0;2.94;0.41;0.0
20200106:0510;0.0;0.0;0.0;2.68;0.48;0.0
20200106:0610;0.0;0.0;0.0;2.31;0.62;0.0
20200106:0710;0.0;0.0;0.0;-0.39;0.62;0.0
20200106:0810;114.29;144.33;8.76;0.64;0.62;0.0
20200106:0910;89.0;116.75;15.57;3.19;0.76;0.0
20200106:1010;102.15;132.7;20.35;5.32;1.03;0.0
20200106:1110;199.9;241.67;22.66;5.72;1.03;0.0
20200106:1210;621.73;749.39;22.21;6.6;1.03;0.0
20200106:1310;587.82;708.07;19.07;7.18;0.9;0.0
20200106:1410;464.87;551.91;13.58;6.69;0.76;0.0
20200106:1510;261.61;313.56;6.23;6.16;0.76;0.0
20200106:1610;0.0;0.0;0.0;4.73;1.1;0.0
20200106:1710;0.0;0.0;0.0;2.69;1.17;0.0
20200106:1810;0.0;0.0;0.0;1.78;0.97;0.0
20200106:1910;0.0;0.0;0.0;0.27;1.1;0.0
20200106:2010;0.0;0.0;0.0;0.11;0.83;0.0
20200106:2110;0.0;0.0;0.0;-0.34;0.69;0.0
20200106:2210;0.0;0.0;0.0;-0.44;0.55;0.0
20200106:2310;0.0;0.0;0.0;0.24;0.41;0.0
20200107:0010;0.0;0.0;0.0;-0.08;0.34;0.0
20200107:0110;0.0;0.0;0.0;-0.32;0.34;0.0
20200107:0210;0.0;0.0;0.0;-1.05;0.28;0.0
20200107:0310;0.0;0.0;0.0;-1.12;0.28;0.0
